Кузов;Модель;VIN;Цвет кузова;Год;Специальная цена
T15;BMW X5 xDrive30d M Sport;4186134;Серый Космос металлик;2 018;4 670 000
T15;BMW X5 xDrive40d M Sport;4184710;Серый Космос металлик;2 018;5 120 000
T15;BMW X5 xDrive40d M Sport;4184757;Черный Карбон;2 018;5 120 000
T15;BMW X5 xDrive40d M Sport;4186220;Черный Карбон;2 018;5 260 000
F90;BMW M5;WBSJF01010G967265;Серый Сингапур;2 018;9 251 799,99
T16;BMW X6 xDrive30d M Sport;4186601;Белый минерал металлик ;2 018;5 300 000
T16;BMW X6 xDrive30d M Sport;4186647;Голубой Long Beach;2 018;5 300 000
T16;BMW X6 xDrive30d M Sport;4186674;Голубой Long Beach;2 018;5 300 000
T16;BMW X6 xDrive30d M Sport;4186679;Голубой Long Beach;2 018;5 300 000
T16;BMW X6 xDrive30d M Sport Pure;4185050;Серый Космос металлик;2 018;4 560 000
T16;BMW X6 xDrive30d M Sport Pure;4186724;Черный Карбон;2 018;4 690 000
T16;BMW X6 xDrive30d M Sport Pure;4186829;Черный Сапфир металлик;2 018;4 690 000
T16;BMW X6 xDrive30d M Sport Pure;4186927;Белый минерал металлик ;2 018;4 690 000
